,Titles,Contents,Links
0,Higher percentage of men drink in dry state of Bihar than in Maha: Survey,"A higher percentage of men drink in Bihar, a state under prohibition, than in Maharashtra, a National Family Health Survey 2019-20 revealed. In Bihar, 15.5% of men aged 15 and above consume alcohol, whereas, in Maharashtra, 13.9% of men aged 15 years and above consume alcohol. Gujarat and Jammu & Kashmir, in that order, have the least consumption of alcohol.",https://inshorts.com/en/news/higher-percentage-of-men-drink-in-dry-state-of-bihar-than-in-maha-survey-1608110442746
1,Who are the world's top 10 highest-paid celebrities as per Forbes? ,"Kylie Jenner ($590 million earnings) has topped Forbes' list of 2020's 100 highest-paid celebrities. She's followed by her brother-in-law Kanye West ($170 million earnings). Roger Federer ($106.3 million), Cristiano Ronaldo ($105 million) and Lionel Messi ($104 million) made it to top 5. Others in top 10 include Neymar ($95.5 million), Howard Stern ($90 million) and Dwayne Johnson ($87.5 million).",https://inshorts.com/en/news/who-are-the-worlds-top-10-highestpaid-celebrities-as-per-forbes-1608109429272
2,JEE (Main) 2021 dates to be announced by 6 pm today: Education Min,"Union Education Minister Ramesh Pokhriyal on Wednesday said that the dates for the JEE (Main) 2021 entrance exam will be announced by 6 pm today. He thanked the students for their ""constructive suggestions"" on Twitter. He said the NTA has examined the suggestions and he will announce ""the schedule and the number of times the exam will be held"" today.",https://inshorts.com/en/news/jee-main-2021-dates-to-be-announced-by-6-pm-today-education-min-1608103993641
3,"Kane Williamson and partner Sarah blessed with a baby girl, share 1st pic","New Zealand captain Kane Williamson and his partner Sarah Raheem have been blessed with a baby girl, with Williamson announcing the news on Instagram today. Williamson shared a picture of himself with his newborn baby girl and wrote, ""Overjoyed to welcome a beautiful baby girl into our family."" Williamson and Sarah have been a couple since at least late 2015.",https://inshorts.com/en/news/kane-williamson-and-partner-sarah-blessed-with-a-baby-girl-share-1st-pic-1608108334650
4,'You are scared to fight me': YouTuber offers ₹370 cr to McGregor to box him ,"YouTuber-turned-amateur boxer Jake Paul, in a rant posted on social media, challenged former UFC champion Conor McGregor and offered him $50 million (₹370 crore) to fight in a boxing match. ""My team sent you a $50 million offer...But, you're scared to fight me, Conor! You're ducking me because you don't want to lose to a YouTuber,"" the 23-year-old said.",https://inshorts.com/en/news/you-are-scared-to-fight-me-youtuber-offers-₹370-cr-to-mcgregor-to-box-him-1608107572793
5,Team India's playing XI announced a day before first Test against Australia,"The BCCI on Wednesday announced Team India's playing XI for the first Test against Australia which will take place in Adelaide from Thursday. Prithvi Shaw has been chosen as Mayank Agarwal's opening partner over Shubman Gill, while Wriddhiman Saha has been picked as wicketkeeper ahead of Rishabh Pant. Jasprit Bumrah, Mohammad Shami and Umesh Yadav are the three pacers selected.",https://inshorts.com/en/news/team-indias-playing-xi-announced-a-day-before-first-test-against-australia-1608105973668
6,Indian-American Raja Chari selected by NASA to fly to ISS on SpaceX mission,"Indian-American astronaut Raja Chari has been selected by NASA alongside two other astronauts to fly to the International Space Station (ISS) on SpaceX Crew-3 mission in 2021. It'll be the first spaceflight for Chari and Matthias Maurer, and the third for NASA astronaut Tom Marshburn. Raja Chari is the only Indian-American among 18 astronauts selected for NASA's Moon mission.",https://inshorts.com/en/news/indianamerican-raja-chari-selected-by-nasa-to-fly-to-iss-on-spacex-mission-1608110324593
7,COVID-19 +ve Haryana minister Anil Vij shifted to Gurugram hospital,"Haryana minister Anil Vij, who had tested positive for COVID-19, was shifted to Medanta hospital in Gurugram from Rohtak's Post Graduate Institute of Medical Sciences on Tuesday. A doctor said, ""The Health Minister has been diagnosed with COVID-19 pneumonia, leading to infection in lungs."" Vij had got one shot of the two-dose trial of the COVID-19 vaccine Covaxin last month.",https://inshorts.com/en/news/covid19-+ve-haryana-minister-anil-vij-shifted-to-gurugram-hospital-1608103887154
8,"Bus collides with gas tanker amid fog in UP, 7 dead and 25 injured","At least seven people were killed and 25 injured on Wednesday morning when a bus collided with a gas tanker in Uttar Pradesh's Sambhal district amid reduced visibility due to fog, police said. Sambhal SP Chakresh Mishra said that a rescue operation for some people still trapped inside bus is underway, adding that the number of fatalities could go up.",https://inshorts.com/en/news/7-killed-25-injured-as-bus-collides-with-gas-tanker-amid-fog-in-up-1608106531302
9,Why is December 16 celebrated as Vijay Diwas? ,"Vijay Diwas is celebrated in India on December 16 to commemorate the victory of Indian armed forces over Pakistan in 1971 Indo-Pak War, also known as Bangladesh Liberation War. On December 16, 1971, chief of the Pakistani forces, General AAK Niazi, along with 93,000 troops, surrendered to Indian Army. This led to the subsequent secession of East Pakistan into Bangladesh.",https://inshorts.com/en/news/why-is-december-16-celebrated-as-vijay-diwas-1608104014888
10,"SC issues notice to Centre, states seeking removal of protesting farmers",Supreme Court (SC) on Wednesday issued notices to the Centre and states over pleas related to farmers' protest in the Delhi-NCR region. The pleas sought directions to the authorities to remove the farmers who are protesting at several border points of Delhi against Centre's three new farm laws. A three-judge bench granted permission to implead farmer organisations.,https://inshorts.com/en/news/sc-issues-notice-to-centre-states-seeking-removal-of-protesting-farmers-1608106968720
11,Paris authorities fined over ₹80 lakh for having too many women in top jobs,"France's public service ministry has fined the Paris city authorities 90,000 euros (more than ₹80 lakh)  for employing too many women in senior positions in 2018. The city hall appointed 11 women and 5 men to top posts, breaching a law passed to maintain a gender balance. ""This fine is obviously absurd, unfair, irresponsible and dangerous,"" said Paris Mayor.",https://inshorts.com/en/news/paris-authorities-fined-over-₹80-lakh-for-having-too-many-women-in-top-jobs-1608112158479
12,Waking up every morning with my mother makes me happy: Sara on lockdown,"Sara Ali Khan said that COVID-19 lockdown made her realise that waking up every morning with her mother (Amrita Singh) makes her happy. ""Sitting at home for nine months can be difficult for someone as ambitious as me,"" she added. ""I used to have 500 things [to do], believing that [achieving them] will make me happy,"" Sara further said.",https://inshorts.com/en/news/waking-up-every-morning-with-my-mother-makes-me-happy-sara-on-lockdown-1608105379589
13,Arjun Rampal seeks time till Dec 21 to appear before NCB in drugs case,Actor Arjun Rampal has sought time till December 21 to appear before Narcotics Control Bureau (NCB) in a drug-related case. Arjun was summoned by the NCB on December 16 for questioning in connection with the case. NCB had raided Arjun's residence and seized medicines which are controlled substances covered under the Narcotic Drugs and Psychotropic Substances (NDPS) Act.,https://inshorts.com/en/news/arjun-rampal-seeks-time-till-dec-21-to-appear-before-ncb-in-drugs-case-1608102921833
14,Perfect role model but Virat's captaincy still work-in-progress: Laxman,"Ex-India cricketer VVS Laxman said captain Virat Kohli leads by example but there is scope for improvement as far as his captaincy is concerned. ""He's a perfect role model of how a captain should be. There's still work-in-progress as far as captaincy is concerned,"" Laxman said. He added that he feels Virat does become little defensive, especially with field changes.",https://inshorts.com/en/news/perfect-role-model-but-virats-captaincy-still-workinprogress-laxman-1608111999681
